maxord,nonlin_conv_coef,max_conv_fails,maxl,epslin,runtime
3,0.110476,31,190,0.649337,0.293768
4,0.054752,37,104,0.669712,0.240331
4,0.121541,45,203,0.489714,0.350634
4,0.119445,39,208,0.63034,0.368634
4,0.082494,41,170,0.762836,0.321107
4,0.071268,44,205,0.626782,0.294534
4,0.072968,43,123,0.449394,0.264669
4,0.11123,39,201,0.403007,0.303528
4,0.090089,41,117,0.583005,0.228254
4,0.079567,38,216,0.466356,0.325708
4,0.11221,46,246,0.646354,0.425996
4,0.071443,37,217,0.756776,0.373934
3,0.07374,43,118,0.576778,0.255886
4,0.131577,35,125,0.39678,0.230912
4,0.098718,40,224,0.576778,0.338098
4,0.063944,48,156,0.704845,0.265997
3,0.100965,38,77,0.54288,0.262474
4,0.091279,41,177,0.515128,0.273854
4,0.079041,39,172,0.580056,0.281713
3,0.085076,32,115,0.443072,0.260358
5,0.125059,46,350,0.587946,0.589303
5,0.146103,37,250,0.767944,0.462866
4,0.163353,33,151,0.635781,0.380833
3,0.209687,42,132,0.70976,0.314692
3,0.23802,36,33,0.619244,0.250724
4,0.129936,42,19,0.586819,0.190286
4,0.161441,33,70,0.63646,0.244537
4,0.149877,42,169,0.695944,0.312699
3,0.092808,35,269,0.691855,0.380157
3,0.139112,27,169,0.671085,0.297151
3,0.30301,35,70,0.664926,0.239219
4,0.21879,32,169,0.699029,0.357268
4,0.038792,28,129,0.660244,0.242719
4,0.106238,29,81,0.67379,0.224888
3,0.229689,39,120,0.622006,0.303415
3,0.055847,35,130,0.683511,0.256521
3,0.21622,44,40,0.614506,0.28026
4,0.042394,37,139,0.771457,0.258984
4,0.222392,46,238,0.591459,0.398685
3,0.089928,37,139,0.498658,0.242502
3,0.112271,32,95,0.569626,0.223334
2,0.265074,24,15,0.592065,0.257789
5,0.144389,47,250,0.767944,0.45676
4,0.324387,37,151,0.587946,0.317268
4,0.354183,37,117,0.407948,0.30708
3,0.174185,46,216,0.458098,0.321223
4,0.250286,37,201,0.638096,0.409581
