maxord,nonlin_conv_coef,max_conv_fails,solver,maxl,epslin,eta_cf,eta_max_fx,eta_min_fx,eta_max_gs,eta_min,eta_min_ef,runtime
4,0.479439,11,newton_gmres,496,0.295619,0.675752,10.595818,5.181423,6.420389,0.565402,0.733482,305.278332
3,0.699921,37,newton_gmres,374,0.355722,0.753226,19.02633,7.539841,16.999284,0.833981,0.188548,88.107601
2,0.403239,23,newton_gmres,388,0.406122,0.310229,6.948934,2.654993,5.009883,0.364004,0.022693,259.015558
3,0.669845,12,newton_pcg,210,0.085368,0.021156,14.042761,11.367798,7.206612,0.530493,0.445518,29.033966
2,0.870003,44,newton_pcg,366,0.330084,0.03321,16.528858,4.622068,9.925797,0.882336,0.737694,25.068381
4,0.150449,35,newton_gmres,181,0.822349,0.732042,12.69286,7.252093,16.470553,0.748194,0.763212,38.459272
4,0.814543,17,newton_pcg,431,0.243491,0.296689,16.763733,4.402412,2.640586,0.855501,0.838025,68.797166
1,0.335724,32,newton_gmres,46,0.069926,0.697069,8.539989,2.290707,13.3994,0.888884,0.460321,146.210713
3,0.457578,40,newton_gmres,54,0.209889,0.594464,16.989182,16.106487,16.204605,0.405033,0.681952,18.581981
2,0.546058,36,newton_pcg,461,0.824439,0.135971,15.727491,15.095576,14.659111,0.08163,0.04349,119.897183
1,0.268095,45,newton_pcg,458,0.791959,0.570826,15.912463,3.500327,8.143418,0.730465,0.835326,128.794646
5,0.500887,49,newton_pcg,224,0.128693,0.062795,19.666231,9.525275,15.786063,0.383736,0.387855,17.988222
4,0.120727,17,newton_gmres,403,0.251782,0.558657,19.416748,10.966468,1.33885,0.751263,0.190683,531.936284
2,0.36339,13,newton_pcg,167,0.76089,0.27444,9.07012,5.550518,0.239354,0.419766,0.30815,24.24291
3,0.554445,16,newton_gmres,464,0.544897,0.568014,18.267887,2.134115,4.943041,0.51915,0.031438,375.083751
1,0.485733,40,newton_pcg,328,0.340089,0.56419,5.986565,2.785493,18.286643,0.394137,0.833806,127.636315
3,0.103364,9,newton_gmres,289,0.003727,0.609051,19.071273,5.09687,2.11613,0.66451,0.645989,20.623817
4,0.073923,13,newton_pcg,449,0.126982,0.428501,19.565939,15.145593,19.453982,0.476661,0.085648,37.994448
4,0.161176,34,newton_gmres,487,0.376147,0.041887,13.941604,8.443866,14.007526,0.011552,0.845183,145.276321
5,0.278903,22,newton_pcg,312,0.859933,0.860816,6.196687,5.380209,8.54223,0.414466,0.42655,32.508837
3,0.327371,45,newton_gmres,415,0.139708,0.76811,18.486935,16.130779,4.215748,0.896497,0.193414,326.111025
4,0.448358,15,newton_pcg,340,0.039075,0.779841,7.577993,5.635498,0.955725,0.844955,0.897864,9.537059
2,0.024101,28,newton_pcg,71,0.765429,0.872981,17.253192,4.125478,0.878578,0.59784,0.141449,23.871655
4,0.566563,15,newton_gmres,84,0.437544,0.149882,16.962318,6.308501,10.96746,0.754141,0.003123,28.515241
3,0.28614,27,newton_pcg,137,0.701323,0.509112,11.851454,5.213897,15.669495,0.697567,0.442372,20.52673
5,0.875424,18,newton_gmres,259,0.415583,0.02683,15.167732,0.962704,17.627236,0.74656,0.099276,175.545957
1,0.230169,30,newton_gmres,360,0.134739,0.539647,11.176205,9.444278,10.295051,0.051499,0.472863,664.655964
3,0.495973,11,newton_gmres,71,0.739527,0.706974,9.562898,6.2948,1.750987,0.08329,0.033176,117.639933
3,0.85567,8,newton_gmres,253,0.496015,0.601035,14.408734,3.114436,11.78501,0.719666,0.527515,296.928502
3,0.883772,45,newton_gmres,230,0.042314,0.645692,13.863302,10.47079,2.820434,0.679948,0.854975,180.464614
3,0.84927,44,newton_gmres,77,0.276134,0.540834,18.494706,15.556056,1.028447,0.994104,0.416456,164.441643
3,0.120014,14,newton_pcg,212,0.618516,0.260973,5.555767,3.566185,2.169697,0.556022,0.695153,14.416532
4,0.202529,38,newton_gmres,261,0.23932,0.411282,12.658584,12.613177,9.229841,0.215071,0.045219,79.251315
4,0.087161,6,newton_gmres,98,0.016988,0.064775,1.475035,0.616892,3.247148,0.32361,0.356898,6.859733
2,0.177895,44,newton_pcg,60,0.088108,0.217481,13.119036,8.471529,9.904579,0.050286,0.3712,27.433593
2,0.248305,6,newton_pcg,50,0.05397,0.38617,1.896607,1.754843,1.568257,0.100707,0.680987,6.229176
3,0.315751,14,newton_pcg,404,0.892585,0.696398,17.168144,11.704208,8.010724,0.564732,0.31736,29.718908
2,0.254384,15,newton_gmres,186,0.010453,0.352343,19.984418,9.735971,4.156351,0.5967,0.180174,77.603336
2,0.631072,46,newton_pcg,128,0.236031,0.298279,13.476684,1.854738,17.259359,0.03644,0.191825,19.025979
4,0.425962,22,newton_pcg,180,0.438613,0.891798,6.835066,3.454053,5.384487,0.115375,0.724215,37.369826
1,0.190808,26,newton_pcg,318,0.886656,0.643268,11.683961,0.875483,1.084924,0.523929,0.260134,140.91151
4,0.468705,24,newton_gmres,347,0.743556,0.234204,11.994972,7.091084,0.854392,0.105097,0.10535,124.645602
1,0.792335,44,newton_gmres,292,0.100924,0.823649,12.303577,3.906342,3.081025,0.4489,0.162181,495.242073
2,0.832439,24,newton_gmres,349,0.675031,0.816553,7.943055,5.056025,2.386849,0.544143,0.459842,861.029129
4,0.411722,36,newton_pcg,25,0.522222,0.863685,13.310321,5.606716,1.9463,0.456622,0.015279,81.085433
3,0.452292,31,newton_pcg,340,0.28192,0.114838,8.886904,4.72774,2.521725,0.260101,0.784406,36.625551
3,0.546044,26,newton_pcg,408,0.803656,0.469677,0.704102,0.277956,10.246538,0.531647,0.676964,2.228709
4,0.506156,49,newton_pcg,453,0.448075,0.09916,6.166189,5.515163,15.289863,0.965618,0.401401,32.713914
2,0.171313,11,newton_pcg,375,0.734976,0.359159,19.229605,4.203283,16.634768,0.658628,0.780378,17.472823
2,0.592797,19,newton_gmres,233,0.726549,0.674072,11.20057,6.445897,9.761784,0.314041,0.560886,264.692293
1,0.854789,30,newton_pcg,250,0.383377,0.092886,16.105096,2.502662,1.995831,0.34183,0.665252,129.62049
5,0.130976,29,newton_gmres,419,0.247804,0.293679,12.460916,9.333987,3.9359,0.994484,0.256609,337.973528
3,0.593212,4,newton_gmres,438,0.404432,0.490874,19.64093,9.278195,11.631479,0.539571,0.491399,160.113611
3,0.188471,35,newton_pcg,241,0.68481,0.689343,18.865298,3.264598,6.298149,0.330559,0.234868,34.123445
5,0.282058,27,newton_gmres,416,0.180479,0.169956,15.423458,2.552176,12.469242,0.974529,0.273593,123.491273
5,0.375312,28,newton_pcg,86,0.274116,0.472822,16.165675,2.261482,4.310796,0.367458,0.757751,44.414563
3,0.094007,43,newton_gmres,236,0.731767,0.591822,19.483391,3.289411,0.680724,0.155455,0.354731,66.271246
4,0.787996,32,newton_pcg,57,0.206099,0.073232,14.248308,3.935359,4.397176,0.304343,0.130853,44.812623
2,0.769931,17,newton_gmres,165,0.154609,0.283532,11.578265,2.008899,5.151675,0.443238,0.690649,74.583726
2,0.735958,40,newton_gmres,289,0.041647,0.856037,18.607743,8.427511,7.130898,0.351484,0.182232,115.992957
1,0.740446,17,newton_gmres,388,0.307165,0.809184,18.270229,0.188394,6.067087,0.807946,0.202787,731.93772
3,0.224487,37,newton_pcg,113,0.706481,0.248197,6.917232,0.096985,7.037783,0.57648,0.126209,29.594311
4,0.684703,14,newton_gmres,316,0.020674,0.715222,16.038992,10.07565,15.386593,0.377863,0.520763,67.869867
5,0.559943,25,newton_gmres,16,0.721493,0.546685,10.037448,0.40288,17.502201,0.934377,0.042072,82.786497
4,0.873303,43,newton_pcg,397,0.643419,0.275742,8.843966,8.099791,7.196433,0.876583,0.168268,72.075067
3,0.580076,43,newton_pcg,431,0.131705,0.732849,14.949927,6.097694,19.827699,0.23113,0.753428,17.287522
1,0.803704,15,newton_pcg,146,0.36799,0.452543,19.694746,2.20724,19.071015,0.867365,0.484911,127.912125
3,0.306178,48,newton_pcg,497,0.813441,0.675561,8.963601,0.028575,12.497378,0.14385,0.241793,25.166429
4,0.443771,34,newton_gmres,361,0.440837,0.512246,15.014882,6.505055,8.635095,0.987726,0.643123,149.718736
4,0.61385,38,newton_gmres,384,0.552349,0.274832,17.119121,9.820159,12.553903,0.771429,0.197583,129.176831
4,0.048135,19,newton_gmres,280,0.764839,0.4855,14.388383,6.593125,0.257059,0.736054,0.500641,83.467661
3,0.509627,14,newton_pcg,418,0.315955,0.236162,19.754474,12.408452,14.544249,0.09875,0.552085,19.65441
3,0.733616,18,newton_pcg,386,0.647122,0.841393,10.558971,5.312394,5.8572,0.76707,0.775091,97.117099
4,0.43625,12,newton_gmres,245,0.013528,0.854375,6.434922,6.19247,7.971577,0.204026,0.204698,18.172358
3,0.522732,9,newton_pcg,417,0.698752,0.087241,14.561581,10.616004,14.912224,0.981553,0.166211,29.22052
4,0.349025,36,newton_pcg,160,0.556915,0.392013,14.461752,6.379997,1.836925,0.550613,0.384486,86.013249
3,0.499251,42,newton_pcg,430,0.130286,0.677834,12.155368,1.380431,10.468667,0.568898,0.305396,22.391355
3,0.244532,13,newton_pcg,97,0.728276,0.553048,16.903868,11.7279,8.434809,0.089734,0.8756,27.643686
2,0.003968,45,newton_gmres,8,0.317704,0.881414,19.313371,18.561273,10.015853,0.675571,0.405618,36.638319
5,0.361763,10,newton_pcg,103,0.78978,0.88592,17.536555,1.258154,7.886965,0.650659,0.713454,29.801025
2,0.146317,30,newton_pcg,338,0.237849,0.030812,17.676568,11.342176,4.820026,0.4057,0.86967,39.973584
1,0.529386,22,newton_pcg,109,0.077454,0.419526,18.813762,8.036047,16.469958,0.671292,0.272405,129.686602
3,0.54059,24,newton_pcg,80,0.873603,0.779159,7.159862,4.668009,11.707935,0.187712,0.57831,97.096442
3,0.526197,33,newton_pcg,464,0.397905,0.389754,15.552287,3.437203,19.894652,0.461973,0.060137,18.779648
2,0.684317,40,newton_gmres,334,0.248238,0.241298,4.205726,4.008678,3.997456,0.555601,0.403175,105.94356
2,0.562923,39,newton_pcg,77,0.209053,0.365125,4.089885,0.429324,1.859542,0.271099,0.81917,7.18479
1,0.753507,10,newton_gmres,187,0.154361,0.886514,13.166321,5.228012,2.302211,0.692947,0.282552,265.678155
2,0.895289,6,newton_gmres,130,0.764146,0.391301,14.012614,10.960522,14.596528,0.689145,0.687403,285.592694
1,0.643134,41,newton_gmres,167,0.795922,0.339882,14.192468,0.838943,7.220315,0.652059,0.737712,223.822391
2,0.03139,9,newton_gmres,496,0.552796,0.798576,16.275962,4.326156,11.938931,0.114298,0.482263,176.007008
4,0.107724,13,newton_pcg,149,0.831014,0.720028,18.434176,3.682228,16.234866,0.4066,0.034431,17.855435
5,0.693015,19,newton_pcg,4,0.09749,0.02115,9.253944,6.863687,4.645925,0.535317,0.699297,41.455921
1,0.164759,45,newton_gmres,85,0.611534,0.508853,4.327241,3.88741,19.17778,0.389021,0.74593,165.337175
1,0.370475,26,newton_gmres,340,0.266395,0.097307,12.868006,11.175447,3.79572,0.098321,0.154431,623.479711
1,0.20648,17,newton_gmres,460,0.675992,0.561577,15.448275,12.424837,16.675287,0.852737,0.051307,957.256425
1,0.381012,23,newton_gmres,280,0.066289,0.430003,4.31065,1.2537,12.767837,0.201608,0.867488,39.08657
4,0.790202,37,newton_pcg,27,0.194334,0.445901,10.318548,0.306818,16.871541,0.438211,0.425397,22.293025
5,0.529701,23,newton_gmres,31,0.130133,0.08712,16.479044,9.683827,16.975941,0.121979,0.526798,17.558217
4,0.333874,7,newton_gmres,120,0.578072,0.458952,14.896927,4.096618,15.050616,0.87841,0.01522,26.233305
2,0.506585,38,newton_gmres,421,0.574511,0.502626,1.648981,0.138534,2.385494,0.960961,0.356088,12.727684
3,0.829026,20,newton_gmres,304,0.056276,0.425691,16.691756,7.658551,14.629612,0.806658,0.827954,67.459182
2,0.050342,32,newton_pcg,194,0.304344,0.17181,8.704934,6.200147,7.660949,0.884235,0.678973,28.74952
3,0.065956,29,newton_gmres,25,0.546084,0.352634,5.921584,5.315637,18.510073,0.255704,0.079687,8.196066
