maxord,nonlin_conv_coef,max_conv_fails,fixedpointvecs,eta_cf,eta_max_fx,eta_min_fx,eta_max_gs,eta_min,eta_min_ef,runtime
5,0.80652,24,15,0.350559,17.290706,14.035676,5.382669,0.231249,0.053906,275.309777
1,0.273683,16,6,0.398433,4.016022,0.713022,14.02145,0.082145,0.534204,218.388447
2,0.498465,17,9,0.159251,1.872997,1.681114,13.957908,0.671755,0.381131,281.454602
4,0.181475,20,10,0.875137,19.248509,12.687043,3.390067,0.782155,0.65585,286.592714
3,0.458871,32,17,0.348523,14.767554,9.345596,8.021257,0.38417,0.408773,279.226358
1,0.389147,9,8,0.239692,4.476155,0.13503,1.307913,0.15574,0.186502,263.334033
3,0.690922,10,4,0.650374,13.942144,4.372646,14.521154,0.658583,0.18139,262.610362
3,0.170126,3,12,0.780492,10.141753,9.745418,11.443646,0.946247,0.269205,258.501117
2,0.474298,16,19,0.328141,11.560677,4.256716,6.580363,0.847998,0.417307,265.974133
4,0.553886,4,2,0.767055,12.233539,8.264189,12.804306,0.065938,0.584332,330.683917
5,0.221206,43,12,0.661077,12.484317,8.106242,11.141344,0.602665,0.852843,345.659654
2,0.051199,40,1,0.75352,10.192801,5.947239,14.715632,0.587281,0.388364,257.09342
2,0.346278,6,11,0.544285,18.324164,5.807632,5.784569,0.214661,0.275337,280.623056
1,0.73712,28,1,0.343075,10.837231,8.047135,7.101666,0.485842,0.28738,265.03691
3,0.457556,43,12,0.057246,4.446415,2.164333,12.152472,0.343277,0.672383,335.648564
2,0.129281,7,10,0.86749,15.409733,14.159409,4.063905,0.843112,0.320737,279.684346
4,0.766225,42,15,0.214798,4.989377,0.230896,17.851845,0.85468,0.196085,274.467541
1,0.620835,33,5,0.350417,6.476301,5.122393,6.3612,0.629414,0.880347,274.025358
2,0.841733,23,15,0.340346,1.626821,1.461235,7.526317,0.926006,0.398303,282.554712
3,0.760993,24,7,0.594481,10.743996,5.784892,13.694598,0.517864,0.225674,265.688784
3,0.581375,45,12,0.692955,16.367057,3.07967,19.877201,0.302101,0.053677,246.036319
3,0.79608,10,16,0.201682,11.767003,0.708519,6.964327,0.760011,0.815934,100000000.0
3,0.759361,7,16,0.412234,8.421161,1.98597,16.899294,0.734675,0.163459,266.328267
5,0.820011,12,5,0.022352,12.972677,1.953321,12.213322,0.182466,0.665762,279.767366
4,0.582184,5,10,0.253105,16.127968,6.830913,10.45372,0.678702,0.509691,280.623282
1,0.508707,32,10,0.30588,7.246772,3.78786,11.496587,0.334083,0.787374,276.369542
2,0.454891,8,4,0.287694,2.319274,1.329213,6.090172,0.20819,0.243588,277.165102
2,0.235785,4,3,0.632063,9.435024,2.386926,5.311415,0.089701,0.199892,285.735711
3,0.312029,38,5,0.798672,19.760457,12.11653,8.949781,0.655396,0.716624,270.745353
5,0.185574,46,8,0.612877,14.010658,13.508981,4.136213,0.154253,0.014755,263.04897
3,0.118101,16,7,0.758879,12.46044,1.394639,10.371143,0.346478,0.155098,271.878926
3,0.88487,30,2,0.654932,11.491317,9.532874,16.417283,0.28099,0.790584,280.794817
2,0.003842,23,11,0.070203,14.947526,0.56458,0.641403,0.168288,0.279235,265.923985
4,0.844457,28,10,0.081137,18.67569,2.652871,13.360317,0.365745,0.219839,281.48023
4,0.391962,29,2,0.836317,19.268601,6.123238,2.711666,0.066714,0.181013,300.587435
2,0.269115,20,9,0.242937,7.732828,1.943016,19.006425,0.404156,0.369887,260.855929
3,0.068003,6,3,0.388977,11.032197,4.159751,18.193199,0.092636,0.078892,256.175096
2,0.701655,48,9,0.053425,13.544394,2.376532,0.079602,0.547778,0.721213,274.047003
1,0.677816,11,4,0.246162,13.696887,1.688736,10.356557,0.529848,0.157683,267.518338
2,0.689167,23,8,0.542907,11.427236,2.007782,19.672667,0.43055,0.231059,256.36128
2,0.107478,27,8,0.596319,19.706674,16.941039,6.903236,0.599621,0.690841,297.109353
1,0.653009,10,13,0.337658,15.591268,9.856422,19.35481,0.158546,0.666306,244.445311
4,0.140844,49,14,0.249612,8.344419,0.516637,12.835665,0.941249,0.632269,274.209844
5,0.685301,4,13,0.628591,12.899851,12.384108,15.35327,0.873046,0.322324,249.428582
1,0.271231,5,7,0.044331,14.584162,13.671185,19.831918,0.926113,0.810598,239.14494
2,0.841082,48,7,0.041455,12.380751,5.70904,16.42621,0.183471,0.246932,248.257938
3,0.163195,3,14,0.152603,15.795868,1.314771,4.895652,0.234943,0.163644,278.721424
4,0.029017,48,1,0.066964,11.826602,3.425729,10.563424,0.600958,0.823445,276.12553
4,0.511178,25,2,0.000828,19.778332,15.734936,16.97642,0.482946,0.275908,294.54574
2,0.018826,34,5,0.272436,14.117539,1.257464,3.713751,0.214028,0.824601,100000000.0
2,0.419572,39,5,0.345775,16.073899,2.476735,19.936364,0.638453,0.461899,267.519965
4,0.240299,45,18,0.395392,9.038008,1.362402,3.318397,0.913981,0.011525,274.843014
4,0.787245,9,5,0.223782,19.971017,3.884558,6.010154,0.168459,0.670443,296.928081
3,0.551442,38,20,0.878382,4.559008,3.637277,16.761236,0.694298,0.355046,279.045442
1,0.000957,7,6,0.791205,9.504996,8.542905,1.152359,0.574733,0.432374,271.764407
3,0.709128,46,10,0.371028,3.68712,2.606712,19.243148,0.419465,0.609032,282.706262
3,0.878432,40,1,0.548139,14.847286,4.692704,6.167151,0.102306,0.328759,278.263303
2,0.724862,19,18,0.118475,11.765638,4.555239,1.221407,0.150388,0.830405,284.024682
2,0.185914,23,14,0.87212,16.70737,10.566099,14.462218,0.624227,0.504628,275.24106
3,0.156928,6,18,0.108405,18.268848,6.100223,6.126592,0.452436,0.430542,279.890517
5,0.555621,17,3,0.309894,19.665041,8.473511,18.810614,0.444027,0.498565,275.72912
5,0.608748,36,12,0.342806,6.132772,0.957531,19.377365,0.137929,0.277014,296.006822
4,0.529506,38,18,0.111131,5.598161,2.424613,4.699446,0.952432,0.095439,269.732711
2,0.816331,38,17,0.610036,11.459058,6.488453,7.174739,0.733955,0.251703,281.908858
3,0.810071,10,8,0.124164,15.644982,1.182494,6.094384,0.855805,0.097851,266.762949
3,0.472117,38,7,0.184803,19.866201,2.873266,13.288473,0.471774,0.421889,274.919674
2,0.409949,15,14,0.867697,18.133407,5.86251,15.286965,0.97665,0.514305,254.471793
2,0.480465,28,3,0.206767,14.989851,0.281229,2.269742,0.923246,0.389619,100000000.0
2,0.371788,24,15,0.364326,5.994848,1.057496,0.254307,0.433696,0.149142,278.316722
5,0.870282,36,1,0.518749,0.974317,0.812239,16.352667,0.928285,0.701811,100000000.0
3,0.345194,47,16,0.105506,11.368798,8.637072,10.933936,0.565714,0.428675,264.987344
2,0.412585,14,13,0.065105,6.603075,2.291273,4.392529,0.416149,0.512348,285.795124
1,0.193902,16,7,0.266594,16.813004,16.273612,8.916947,0.94973,0.592086,278.886148
4,0.325481,11,8,0.862324,17.032042,0.46275,3.753996,0.098259,0.262368,280.926501
3,0.381904,25,16,0.047972,9.788406,0.054208,12.546434,0.878107,0.535168,100000000.0
5,0.678,17,10,0.191341,19.555382,18.17475,10.539113,0.375463,0.359083,252.350511
2,0.503632,32,20,0.204478,14.21716,12.450911,15.257682,0.440861,0.122137,256.497802
1,0.394849,11,17,0.650953,19.463188,19.401686,3.887808,0.507438,0.092908,270.367748
3,0.62553,19,7,0.443142,6.81891,5.048948,11.835254,0.646119,0.173988,273.886787
3,0.391037,29,8,0.059098,18.629644,1.761964,15.880791,0.319687,0.191841,272.413687
4,0.398591,13,6,0.838109,16.599486,11.377219,15.134608,0.632181,0.087601,253.917123
3,0.702979,42,6,0.207367,6.9819,0.467148,17.887647,0.728833,0.305474,276.95626
2,0.4241,33,6,0.87395,6.784457,4.65035,11.285265,0.210523,0.04365,285.316096
3,0.151078,35,15,0.544602,15.479393,12.537678,0.740155,0.400105,0.558799,290.271901
2,0.343295,7,14,0.75265,13.900542,4.266826,1.452682,0.604485,0.24603,289.842864
4,0.526199,7,8,0.636771,10.170769,8.245528,2.364758,0.382138,0.027796,282.463538
3,0.790778,10,16,0.270056,18.250887,10.263175,19.58233,0.952251,0.605183,252.247753
1,0.616304,8,12,0.244124,10.978963,2.832756,6.134339,0.188388,0.873335,274.722588
3,0.174213,9,3,0.475207,2.680859,0.957839,5.906133,0.013737,0.761328,100000000.0
2,0.362622,30,4,0.6916,19.315489,4.139365,18.44985,0.170037,0.503557,270.724197
1,0.190165,31,20,0.40431,18.781373,5.286424,12.803402,0.396218,0.741239,263.243302
2,0.313122,9,4,0.294066,12.718208,10.15778,12.012111,0.915135,0.25765,251.750375
