maxord,nonlin_conv_coef,max_conv_fails,maxl,epslin,runtime1,0.584591,43,297,0.868707,131.777542
4,0.10143,41,220,0.313293,3.758137
4,0.070745,49,462,0.20187,4.153445
3,0.14498,43,251,0.482345,4.731089
4,0.160357,50,347,0.413946,5.092748
4,0.093088,49,334,0.345305,5.25956
4,0.093088,50,289,0.345305,5.216502
3,0.116014,45,199,0.523036,4.867732
4,0.296012,42,287,0.354798,4.655319
3,0.207851,50,188,0.434165,4.333178
3,0.027853,40,170,0.34921,5.172537
4,0.180228,48,279,0.532433,5.063935
3,0.078742,49,407,0.239653,4.720128
